reviewid,customerid,productid,reviewdate,year_month,rating,reviewtext,vader_score,sentiment_category,productname,brand,category,price
1,204,21,2024-09-17,2024-09,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0
2,226,23,2023-08-31,2023-08,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0
3,192,15,2023-01-08,2023-01,4,Amazing quality! Totally worth the price.,0.7419,Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
4,298,13,2024-02-17,2024-02,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
5,156,48,2024-01-24,2024-01,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0
6,235,14,2023-08-15,2023-08,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
7,112,12,2024-01-31,2024-01,1,Product looks different from the photo online.,0.0,Mixed Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
8,411,48,2023-02-16,2023-02,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0
9,232,41,2024-06-29,2024-06,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Tapered Fit Jeans,Flying Machine,Denim & Jeans,1829.0
10,240,18,2024-02-09,2024-02,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
11,443,28,2024-02-08,2024-02,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
12,463,32,2023-05-20,2023-05,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0
13,305,10,2023-12-10,2023-12,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
14,450,6,2023-02-24,2023-02,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0
15,57,44,2024-06-30,2024-06,1,The jeans are too tight at the waist. Sizing is off.,0.0,Mixed Negative,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
16,135,38,2024-06-14,2024-06,5,Great value for money. Highly recommend.,0.8516,Positive,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0
17,101,16,2024-06-14,2024-06,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
18,456,21,2023-08-09,2023-08,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0
19,303,14,2024-06-24,2024-06,4,Great value for money. Highly recommend.,0.8516,Positive,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
20,388,50,2024-11-15,2024-11,5,Amazing quality! Totally worth the price.,0.7419,Positive,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0
21,15,47,2024-04-23,2024-04,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0
22,31,31,2024-04-26,2024-04,4,Perfect fit. The material feels premium.,0.7351,Positive,Men Pure Cotton Skater Jeans,The Indian Garage Co,Denim & Jeans,688.0
23,308,12,2023-06-13,2023-06,2,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
24,57,9,2024-08-06,2024-08,3,Not bad but not great either. Fits okay.,-0.2883,Neutral,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
25,267,20,2024-08-25,2024-08,3,Not bad but not great either. Fits okay.,-0.2883,Neutral,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0
