reviewid,customerid,productid,reviewdate,rating,reviewtext
1,204,21,2024-09-17,5,Excellent product. Myntra never disappoints.
2,226,23,2023-08-31,5,Delivery was quick and product is exactly as described.
3,192,15,2023-01-08,4,Amazing quality! Totally worth the price.
4,298,13,2024-02-17,5,Fits perfectly. Very happy with the purchase.
5,156,48,2024-01-24,3,Material is fine but the colour is slightly different.
6,235,14,2023-08-15,5,Excellent product. Myntra never disappoints.
7,112,12,2024-01-31,1,Product looks different from the photo online.
8,411,48,2023-02-16,5,Excellent product. Myntra never disappoints.
9,232,41,2024-06-29,5,Beautiful design. Exactly as shown in the photo.
10,240,18,2024-02-09,5,Fits perfectly. Very happy with the purchase.
11,443,28,2024-02-08,5,Excellent product. Myntra never disappoints.
12,463,32,2023-05-20,5,Fits perfectly. Very happy with the purchase.
13,305,10,2023-12-10,3,Material is fine but the colour is slightly different.
14,450,6,2023-02-24,5,Delivery was quick and product is exactly as described.
15,57,44,2024-06-30,1,The jeans are too tight at the waist. Sizing is off.
16,135,38,2024-06-14,5,Great value for money. Highly recommend.
17,101,16,2024-06-14,5,Super comfortable jeans. Bought in two colours.
18,456,21,2023-08-09,5,Amazing quality! Totally worth the price.
19,303,14,2024-06-24,4,Great value for money. Highly recommend.
20,388,50,2024-11-15,5,Amazing quality! Totally worth the price.
21,15,47,2024-04-23,5,Loved the fabric and the fit. Will buy again.
22,31,31,2024-04-26,4,Perfect fit. The material feels premium.
23,308,12,2023-06-13,2,Material feels cheap. Not worth the price at all.
24,57,9,2024-08-06,3,Not bad but not great either. Fits okay.
25,267,20,2024-08-25,3,Not bad but not great either. Fits okay.
26,256,27,2023-09-12,5,Fast delivery and great packaging.
27,399,1,2024-06-01,5,Super comfortable jeans. Bought in two colours.
28,433,42,2024-02-19,4,Fast delivery and great packaging.
29,19,30,2024-05-22,4,Amazing quality! Totally worth the price.
30,375,18,2024-06-27,5,Perfect fit. The material feels premium.
31,431,50,2024-06-13,5,Fits perfectly. Very happy with the purchase.
32,146,45,2024-11-06,4,Fits perfectly. Very happy with the purchase.
33,95,33,2024-05-05,5,Excellent product. Myntra never disappoints.
34,445,33,2024-07-21,1,Quality is below average. Not what I expected.
35,220,32,2023-03-26,3,Not bad but not great either. Fits okay.
36,486,17,2023-10-01,5,Great value for money. Highly recommend.
37,381,38,2023-11-20,5,Amazing quality! Totally worth the price.
38,237,41,2023-02-04,3,Average quality. Nothing special about it.
39,80,28,2023-12-17,5,Beautiful design. Exactly as shown in the photo.
40,427,42,2023-07-31,5,Amazing quality! Totally worth the price.
41,206,25,2024-09-29,1,Size runs small. Return process is very difficult.
42,467,16,2023-06-19,3,Decent product but could be better for the price.
43,16,29,2023-09-08,4,Beautiful design. Exactly as shown in the photo.
44,412,12,2023-03-03,5,Delivery was quick and product is exactly as described.
45,444,41,2023-05-30,5,Fits perfectly. Very happy with the purchase.
46,3,2,2023-12-01,5,Fits perfectly. Very happy with the purchase.
47,359,3,2023-05-24,4,Fits perfectly. Very happy with the purchase.
48,155,34,2023-02-26,5,Beautiful design. Exactly as shown in the photo.
49,466,23,2023-02-27,5,Amazing quality! Totally worth the price.
50,184,29,2024-06-12,4,Excellent product. Myntra never disappoints.
51,416,34,2024-08-23,5,Super comfortable jeans. Bought in two colours.
52,349,21,2024-10-15,5,Loved the fabric and the fit. Will buy again.
53,249,10,2023-06-10,3,Decent product but could be better for the price.
54,478,18,2024-03-23,5,Fits perfectly. Very happy with the purchase.
55,176,12,2024-05-31,5,Delivery was quick and product is exactly as described.
56,402,34,2024-06-24,5,Great value for money. Highly recommend.
57,125,4,2023-02-12,5,Fast delivery and great packaging.
58,169,20,2024-09-27,5,Fast delivery and great packaging.
59,8,46,2023-12-13,4,Perfect fit. The material feels premium.
60,454,46,2023-04-28,5,Perfect fit. The material feels premium.
61,148,27,2023-09-19,5,Amazing quality! Totally worth the price.
62,478,27,2024-03-30,5,Amazing quality! Totally worth the price.
63,410,50,2024-12-15,5,Great value for money. Highly recommend.
64,440,4,2023-03-21,5,Great value for money. Highly recommend.
65,154,29,2023-12-04,5,Loved the fabric and the fit. Will buy again.
66,191,37,2023-10-06,5,Super comfortable jeans. Bought in two colours.
67,112,33,2023-05-10,5,Great value for money. Highly recommend.
68,248,39,2023-09-12,4,Excellent product. Myntra never disappoints.
69,448,22,2023-10-19,4,Amazing quality! Totally worth the price.
70,292,45,2023-11-14,5,Delivery was quick and product is exactly as described.
71,224,28,2023-04-19,5,Super comfortable jeans. Bought in two colours.
72,61,10,2024-05-15,2,Received a damaged product. Very unhappy.
73,398,29,2023-06-22,4,Delivery was quick and product is exactly as described.
74,155,8,2024-01-20,4,Excellent product. Myntra never disappoints.
75,185,13,2024-02-11,5,Loved the fabric and the fit. Will buy again.
76,322,13,2024-12-11,5,Excellent product. Myntra never disappoints.
77,29,22,2023-02-20,4,Super comfortable jeans. Bought in two colours.
78,181,23,2023-10-24,4,Great value for money. Highly recommend.
79,411,12,2024-03-21,5,Great value for money. Highly recommend.
80,110,14,2024-11-10,5,Beautiful design. Exactly as shown in the photo.
81,213,33,2024-02-29,4,Super comfortable jeans. Bought in two colours.
82,47,2,2024-08-17,1,Received a damaged product. Very unhappy.
83,190,22,2023-04-01,5,Amazing quality! Totally worth the price.
84,368,38,2024-10-02,5,Perfect fit. The material feels premium.
85,399,40,2023-02-17,4,Fits perfectly. Very happy with the purchase.
86,19,34,2024-03-06,5,Fits perfectly. Very happy with the purchase.
87,348,2,2024-10-23,5,Perfect fit. The material feels premium.
88,101,39,2024-07-19,5,Amazing quality! Totally worth the price.
89,83,26,2023-02-14,1,Delivery was very late. Poor experience.
90,376,16,2024-11-25,4,Amazing quality! Totally worth the price.
91,95,1,2023-02-13,5,Delivery was quick and product is exactly as described.
92,87,42,2024-06-15,5,Fits perfectly. Very happy with the purchase.
93,153,19,2024-06-24,5,Fast delivery and great packaging.
94,396,29,2024-02-27,5,Super comfortable jeans. Bought in two colours.
95,379,1,2023-05-19,4,Fits perfectly. Very happy with the purchase.
